Temperature[K]	 qtunn_Ia	    qtunn_Ec	  
100.0	      1.079672e+12 	  1.311800e+12  
200.0	      8.863554e+03 	  1.104724e+04  
300.0	      5.331223e+01 	  6.562407e+01  
400.0	      8.217662e+00 	  9.845650e+00  
500.0	      3.633563e+00 	  4.234853e+00  
600.0	      2.390055e+00 	  2.722999e+00  
700.0	      1.874280e+00 	  2.098231e+00  
800.0	      1.606255e+00 	  1.774670e+00  
900.0	      1.446267e+00 	  1.582694e+00  
1000.0	      1.341256e+00 	  1.458090e+00  
1100.0	      1.267309e+00 	  1.371924e+00  
1200.0	      1.212295e+00 	  1.309472e+00  
1300.0	      1.169512e+00 	  1.262539e+00  
1400.0	      1.135004e+00 	  1.226239e+00  
1500.0	      1.106318e+00 	  1.197499e+00  
1600.0	      1.081867e+00 	  1.174298e+00  
1700.0	      1.060587e+00 	  1.155260e+00  
1800.0	      1.041747e+00 	  1.139416e+00  
1900.0	      1.024827e+00 	  1.126071e+00  
