DISTANCE	EHF	ERS2
1,0	-40,33043345	-40,35225841
1,1	-40,36183348	-40,36002477
1,2	-40,34054399	-40,35459115
1,3	-40,28970150	-40,34179371
1,4	-40,22357496	-40,32515056
1,5	-40,15102091	-40,30678357
1,6	-40,07759478	-40,28797287
1,7	-40,00678266	-40,26948523
1,8	-39,94071557	-40,25177012
1,9	-39,88059592	-40,23508051
2,0	-39,82694120	-40,21954836
2,1	-39,77969269	-40,20523129
2,2	-39,73825595	-40,19214160
2,3	-39,70171471	-40,18026457
2,4	-39,66970447	-40,16957015
2,5	-39,64285913	-40,16001995
2,6	-39,62126885	-40,15157109
2,7	-39,60404747	-40,14417830
2,8	-39,59017952	-40,13779550
2,9	-39,57888958	-40,13237709
3,0	-39,56963842	-40,12787897
	
