DISTANCES       ECAS
         1.0   -40.33043345
         1.1   -40.36183348
         1.2   -40.34054399
         1.3   -40.28970150
         1.4   -40.22357496
         1.5   -40.15102091
         1.6   -40.07759478
         1.7   -40.00678266
         1.8   -39.94071557
         1.9   -39.88059592
         2.0   -39.82694120
         2.1   -39.77969269
         2.2   -39.73825595
         2.3   -39.70171471
         2.4   -39.66970447
         2.5   -39.64285913
         2.6   -39.62126885
         2.7   -39.60404747
         2.8   -39.59017952
         2.9   -39.57888958
         3.0   -39.56963842
