
DISTS,HF,ERS2
    0.55, -39.50654863,-39.66147274
    0.60, -39.70504571,-39.86001820
    0.70, -39.95895515,-40.11480807
    0.80, -40.09455045,-40.25180685
    0.90, -40.16284824,-40.32160289
    1.00, -40.19211379,-40.35225841
    1.10, -40.19865599,-40.36002477
    1.20, -40.19215124,-40.35459115
    1.30, -40.17839399,-40.34179371
    1.40, -40.16084864,-40.32515056
    1.50, -40.14158018,-40.30678357
    1.60, -40.12181484,-40.28797287
    1.70, -40.10227213,-40.26948523
    1.80, -40.08336171,-40.25177012
    1.90, -40.06530313,-40.23508051
    2.00, -40.04819993,-40.21954836
    2.10, -40.03208573,-40.20523129
    2.20, -40.01695334,-40.19214160
    2.30, -40.00277312,-40.18026457
    2.40, -39.98950401,-40.16957015
    2.50, -39.97709940,-40.16001995
    2.60, -39.96550985,-40.15157109
    2.70, -39.95468472,-40.14417830
    2.80, -39.94457353,-40.13779550
    2.90, -39.93512750,-40.13237709
    3.00, -39.92630092,-40.12787897
    3.10, -39.91805210,-40.12425899
    3.20, -39.91034375,-40.12147687
    3.30, -39.90314291,-40.11949339
    3.40, -39.89642043,-40.11826944
    3.50, -39.89015031,-40.11776486
